gateway_id	ss_camp_type	count(*)
146099	2	3299
146099	3	3570
146100	0	1
146100	1	3561
146100	2	3534
146100	3	3738
146101	1	3870
146101	2	3936
146101	3	4390
146102	1	3559
146102	2	3170
146102	3	3499
146103	1	2516
146103	2	2628
146103	3	3058
146104	1	3784
146104	2	2781
146104	3	3289
146105	1	1614
146105	2	1375
146105	3	1153
146106	1	5182
146106	2	3748
146106	3	3715
146107	1	4223
146107	2	3079
146107	3	3433
146108	1	3346
146108	2	2191
146108	3	1964
146109	1	817
146109	2	1150
146109	3	940
146110	1	2867
146110	2	2959
146110	3	2880
153001	0	7
153001	1	56535
153001	2	78098
153001	3	67002
153002	1	13178
153002	2	16814
153002	3	15673
153005	0	6
153005	1	27470
153005	2	40748
153005	3	36465
153007	0	6
153007	1	21008
153007	2	31260
153007	3	28085
153009	0	6
153009	1	27758
153009	2	39901
153009	3	36203
153011	0	1
153011	1	16834
153011	2	27663
153011	3	22540
153015	0	3
153015	1	22428
153015	2	26241
153015	3	20641
153017	0	2
153017	1	27262
153017	2	30165
153017	3	26577
153019	0	1
153019	1	18002
153019	2	18589
153019	3	18084
153020	0	1
153020	1	20033
153020	2	21245
153020	3	19929
153023	1	18355
153023	2	19068
153023	3	18597
153028	1	10628
153028	2	12432
153028	3	10508
153030	0	1
153030	1	10943
153030	2	11410
153030	3	11080
153033	1	11147
153033	2	12400
153033	3	11004
153040	1	10618
153040	2	10870
153040	3	8913
153042	0	22
153042	1	15253
153042	2	16896
153042	3	16169
153043	0	1
153043	1	10748
153043	2	11808
153043	3	10491
153046	0	1
153046	1	4693
153046	2	4874
153046	3	4960
153048	0	1
153048	1	5193
153048	2	5689
153048	3	5546
153049	0	1
153049	1	6073
153049	2	7046
153049	3	6375
153052	1	8343
153052	2	9290
153052	3	8682
153062	1	8297
153062	2	7982
153062	3	8079
153064	1	11631
153064	2	10530
153064	3	12811
153068	1	7495
153068	2	6634
153068	3	7398
153072	1	4390
153072	2	4825
153072	3	3885
153076	1	2650
153076	2	2133
153076	3	2351
153078	1	2905
153078	2	2601
153078	3	2467
153080	1	2780
153080	2	2811
153080	3	2986
153084	0	1
153084	1	2309
153084	2	3198
153084	3	2401
153085	1	2345
153085	2	2449
153085	3	2118
153086	1	1471
153086	2	1709
153086	3	1401
153091	1	1639
153091	2	1455
153091	3	1365
153093	1	1092
153093	2	1209
153093	3	1090
153095	1	602
153095	2	798
153095	3	580
153097	1	1068
153097	2	985
153097	3	766
153099	1	1242
153099	2	1196
153099	3	1030
153100	1	964
153100	2	1033
153100	3	867
153101	1	768
153101	2	918
153101	3	1049
153102	1	1163
153102	2	1015
153102	3	726
153103	1	771
153103	2	898
153103	3	879
153104	1	891
153104	2	1016
153104	3	768
153105	1	617
153105	2	690
153105	3	747
153106	1	231
153106	2	297
153106	3	294
153107	1	815
153107	2	827
153107	3	668
153108	1	403
153108	2	508
153108	3	400
153109	1	374
153109	2	314
153109	3	281
153110	1	235
153110	2	347
153110	3	310
153111	1	466
153111	2	556
153111	3	549
153112	1	371
153112	2	491
153112	3	350
153113	1	76
153113	2	98
153113	3	96
153114	1	2
153117	1	1
153118	1	1
153118	2	1
153119	1	2
153119	3	1
153990	2	1
153990	3	1
240001	1	4837
240001	2	4860
240001	3	7057
240002	0	1
240002	1	2413
240002	2	2869
240002	3	2163
247001	0	4
247001	1	35037
247001	2	43647
247001	3	38647
247005	0	4
247005	1	20974
247005	2	29302
247005	3	25948
247009	0	4
247009	1	47119
247009	2	51514
247009	3	51665
247023	1	10586
247023	2	8870
247023	3	9796
247990	2	1
250001	0	6
250001	1	27271
250001	2	34478
250001	3	33227
