gateway_id	role	count(*)
146075	2	1698
146075	3	3310
146075	4	3091
146075	5	646
146077	1	3115
146077	2	1153
146077	3	2420
146077	4	2526
146077	5	273
146082	1	3984
146082	2	3019
146082	3	5527
146082	4	3010
146082	5	2698
146084	1	4163
146084	2	3459
146084	3	6580
146084	4	3323
146084	5	3200
146086	1	3491
146086	2	2332
146086	3	4305
146086	4	2641
146086	5	2169
146088	1	4289
146088	2	2626
146088	3	4723
146088	4	2996
146088	5	2644
146089	1	3051
146089	2	1888
146089	3	3539
146089	4	2422
146089	5	1967
146090	1	4874
146090	2	2826
146090	3	5581
146090	4	4108
146090	5	3039
146091	1	4265
146091	2	3571
146091	3	7483
146091	4	4959
146091	5	3734
146092	1	2667
146092	2	3082
146092	3	6672
146092	4	4778
146092	5	3281
146093	1	3202
146093	2	3361
146093	3	6987
146093	4	4750
146093	5	3265
146094	1	2369
146094	2	1791
146094	3	3598
146094	4	2770
146094	5	1909
146095	1	2546
146095	2	1889
146095	3	3887
146095	4	2741
146095	5	1864
146096	1	2365
146096	2	1889
146096	3	3294
146096	4	2477
146096	5	1685
146097	1	2642
146097	2	1785
146097	3	3287
146097	4	2366
146097	5	1692
146098	1	2863
146098	2	1833
146098	3	3521
146098	4	2626
146098	5	1837
146099	1	2366
146099	2	1660
146099	3	2928
146099	4	2170
146099	5	1537
146100	1	2309
146100	2	1743
146100	3	3063
146100	4	2152
146100	5	1567
146101	1	2660
146101	2	1789
146101	3	3580
146101	4	2452
146101	5	1715
146102	1	2348
146102	2	1630
146102	3	2826
146102	4	2076
146102	5	1348
146103	1	2224
146103	2	1114
146103	3	2139
146103	4	1617
146103	5	1108
146104	1	4682
146104	2	904
146104	3	1767
146104	4	1498
146104	5	1003
146105	1	1237
146105	2	588
146105	3	962
146105	4	799
146105	5	556
146106	1	4490
146106	2	1447
146106	3	2877
146106	4	2280
146106	5	1551
146107	1	2631
146107	2	1679
146107	3	2540
146107	4	2223
146107	5	1662
146108	1	2779
146108	2	926
146108	3	1537
146108	4	1289
146108	5	970
146109	1	438
146109	2	458
146109	3	851
146109	4	667
146109	5	493
146110	1	1060
146110	2	1300
146110	3	2846
146110	4	2088
146110	5	1412
153001	0	1
153001	1	63530
153001	2	28159
153001	3	52699
153001	4	56124
153001	5	1129
153002	1	8278
153002	2	7983
153002	3	13883
153002	4	15019
153002	5	502
153005	1	24549
153005	2	18802
153005	3	31893
153005	4	29186
153005	5	259
153007	1	18145
153007	2	13453
153007	3	25065
153007	4	23321
153007	5	375
153009	1	24249
153009	2	17531
153009	3	31474
153009	4	30254
153009	5	360
153011	1	14418
153011	2	11963
153011	3	20772
153011	4	19709
153011	5	176
153015	1	19729
153015	2	11283
153015	3	19685
153015	4	18441
153015	5	175
153017	1	22993
153017	2	12250
153017	3	23468
153017	4	25133
153017	5	162
153019	1	13541
153019	2	9838
153019	3	16450
153019	4	14733
153019	5	114
153020	1	16194
153020	2	10895
153020	3	18376
153020	4	15570
153020	5	173
153023	1	15117
153023	2	8881
153023	3	16158
153023	4	15577
153023	5	287
153028	1	9023
153028	2	5178
153028	3	9465
153028	4	9727
153028	5	175
153030	1	8211
153030	2	5340
153030	3	9746
153030	4	9996
153030	5	141
153033	1	9762
153033	2	5467
153033	3	9562
153033	4	9477
153033	5	283
153040	1	7098
153040	2	5324
153040	3	9025
153040	4	8775
153040	5	179
153042	1	11492
153042	2	8201
153042	3	15397
153042	4	13083
153042	5	167
153043	1	8380
153043	2	5447
153043	3	10457
153043	4	8660
153043	5	104
153046	1	4126
153046	2	2435
153046	3	4362
153046	4	3582
153046	5	23
153048	1	4549
153048	2	2666
153048	3	5014
153048	4	4105
153048	5	95
153049	1	5308
153049	2	3132
153049	3	6097
153049	4	4837
153049	5	121
153052	1	6659
153052	2	5357
153052	3	8041
153052	4	6009
153052	5	249
153062	1	5638
153062	2	4254
153062	3	9288
153062	4	4978
153062	5	200
153064	1	9926
153064	2	5667
153064	3	11323
153064	4	7888
153064	5	168
153068	1	4113
153068	2	4250
153068	3	8194
153068	4	4761
153068	5	209
153072	1	2771
153072	2	2971
153072	3	3958
153072	4	3127
153072	5	273
153076	1	2023
153076	2	1173
153076	3	2231
153076	4	1533
153076	5	174
153078	1	2682
153078	2	1181
153078	3	2147
153078	4	1594
153078	5	369
153080	1	2647
153080	2	1353
153080	3	2309
153080	4	1769
153080	5	499
153084	1	1421
153084	2	1502
153084	3	2474
153084	4	1085
153084	5	1427
153085	1	1026
153085	2	1272
153085	3	1800
153085	4	1334
153085	5	1480
153086	1	1303
153086	2	808
153086	3	1058
153086	4	667
153086	5	745
153091	1	828
153091	2	769
153091	3	1258
153091	4	804
153091	5	800
153093	1	298
153093	2	775
153093	3	1097
153093	4	613
153093	5	608
153095	1	219
153095	2	403
153095	3	552
153095	4	443
153095	5	363
153097	1	455
153097	2	542
153097	3	912
153097	4	475
153097	5	435
153099	1	436
153099	2	620
153099	3	1141
153099	4	660
153099	5	611
153100	1	334
153100	2	592
153100	3	985
153100	4	514
153100	5	439
153101	1	229
153101	2	667
153101	3	898
153101	4	552
153101	5	389
153102	1	257
153102	2	629
153102	3	1076
153102	4	515
153102	5	427
153103	1	237
153103	2	522
153103	3	949
153103	4	454
153103	5	386
153104	1	320
153104	2	553
153104	3	966
153104	4	457
153104	5	379
153105	1	168
153105	2	412
153105	3	843
153105	4	344
153105	5	287
153106	1	104
153106	2	151
153106	3	277
153106	4	159
153106	5	131
153107	1	224
153107	2	443
153107	3	846
153107	4	422
153107	5	375
153108	1	137
153108	2	263
153108	3	404
153108	4	278
153108	5	229
153109	1	103
153109	2	199
153109	3	339
153109	4	165
153109	5	163
153110	1	101
153110	2	201
153110	3	257
153110	4	172
153110	5	161
153111	1	155
153111	2	284
153111	3	548
153111	4	336
153111	5	248
153112	1	115
153112	2	229
153112	3	401
153112	4	257
153112	5	210
153113	1	30
153113	2	53
153113	3	112
153113	4	42
153113	5	33
153114	1	1
153114	4	1
153117	3	1
153118	1	2
153119	1	3
153990	1	1
153990	5	1
240001	1	9342
240001	2	1827
240001	3	2778
240001	4	2227
240001	5	580
240002	1	2021
240002	2	1471
240002	3	1962
240002	4	1613
240002	5	379
247001	1	30333
247001	2	14257
247001	3	28894
247001	4	43269
247001	5	582
247005	1	22266
247005	2	11141
247005	3	20636
247005	4	21499
247005	5	686
247009	1	49140
247009	2	18240
247009	3	35789
247009	4	46585
247009	5	548
247023	1	10058
247023	2	4057
247023	3	6780
247023	4	7807
247023	5	550
247990	1	1
250001	1	31741
250001	2	12586
250001	3	21942
250001	4	28373
250001	5	340
