gateway_id	vip_level	count(*)
146005	8	221
146005	9	73
146005	10	185
146005	11	108
146005	12	26
146005	13	112
146005	14	111
146005	15	42
146005	16	17
146005	17	6
146005	18	2
146031	0	16493
146031	1	637
146031	2	132
146031	3	163
146031	4	93
146031	5	83
146031	6	284
146031	7	80
146031	8	90
146031	9	14
146031	10	97
146031	11	48
146031	12	30
146031	13	46
146031	14	44
146031	15	13
146031	16	2
146031	17	2
146031	18	6
146040	0	19123
146040	1	1056
146040	2	307
146040	3	295
146040	4	178
146040	5	131
146040	6	677
146040	7	189
146040	8	473
146040	9	52
146040	10	388
146040	11	141
146040	12	36
146040	13	84
146040	14	104
146040	15	43
146040	16	4
146040	17	7
146040	18	7
146051	0	16837
146051	1	743
146051	2	210
146051	3	222
146051	4	169
146051	5	135
146051	6	323
146051	7	220
146051	8	153
146051	9	32
146051	10	134
146051	11	42
146051	12	22
146051	13	34
146051	14	26
146051	15	11
146051	16	4
146051	17	4
146051	18	2
146062	0	18089
146062	1	439
146062	2	225
146062	3	181
146062	4	86
146062	5	49
146062	6	204
146062	7	55
146062	8	167
146062	9	20
146062	10	63
146062	11	45
146062	12	19
146062	13	34
146062	14	20
146062	15	9
146062	16	1
146070	0	17436
146070	1	310
146070	2	104
146070	3	81
146070	4	68
146070	5	37
146070	6	148
146070	7	55
146070	8	128
146070	9	16
146070	10	42
146070	11	26
146070	12	3
146070	13	19
146070	14	16
146070	15	4
146070	17	6
146070	18	1
146072	0	15195
146072	1	686
146072	2	174
146072	3	109
146072	4	107
146072	5	56
146072	6	140
146072	7	57
146072	8	43
146072	9	11
146072	10	38
146072	11	17
146072	12	6
146072	13	26
146072	14	18
146072	15	4
146072	16	3
146072	17	2
146075	0	10602
146075	1	375
146075	2	304
146075	3	106
146075	4	51
146075	5	49
146075	6	237
146075	7	48
146075	8	72
146075	9	10
146075	10	74
146075	11	40
146075	12	17
146075	13	22
146075	14	9
146075	15	8
146075	17	3
146077	0	8763
146077	1	262
146077	2	61
146077	3	85
146077	4	63
146077	5	36
146077	6	87
146077	7	34
146077	8	36
146077	9	11
146077	10	25
146077	11	23
146077	12	9
146077	13	14
146077	14	17
146077	15	4
146077	16	2
146082	0	16671
146082	1	863
146082	2	123
146082	3	118
146082	4	89
146082	5	39
146082	6	126
146082	7	53
146082	8	63
146082	9	20
146082	10	54
146082	11	44
146082	12	5
146082	13	16
146082	14	7
146082	15	1
146084	0	19066
146084	1	919
146084	2	136
146084	3	114
146084	4	119
146084	5	62
146084	6	215
146084	7	54
146084	8	59
146084	9	12
146084	10	44
146084	11	20
146084	12	9
146084	13	10
146084	14	14
146084	15	1
146086	0	13583
146086	1	775
146086	2	110
146086	3	116
146086	4	54
146086	5	49
146086	6	90
146086	7	45
146086	8	52
146086	9	10
146086	10	19
146086	11	27
146086	12	6
146086	13	24
146086	14	12
146086	15	2
146086	16	3
146088	0	15985
146088	1	719
146088	2	113
146088	3	134
146088	4	110
146088	5	38
146088	6	93
146088	7	32
146088	8	24
146088	9	11
146088	10	20
146088	11	21
146088	12	6
146088	13	7
146088	14	4
146088	15	2
146089	0	12059
146089	1	465
146089	2	75
146089	3	61
146089	4	51
146089	5	23
146089	6	58
146089	7	29
146089	8	20
146089	9	4
146089	10	17
146089	11	20
146089	13	7
146089	14	9
146089	15	2
146089	16	2
146090	0	19353
146090	1	683
146090	2	87
146090	3	75
146090	4	56
146090	5	31
146090	6	68
146090	7	37
146090	8	29
146090	9	6
146090	10	9
146090	11	13
146090	12	5
146090	13	7
146090	14	2
146090	15	2
146090	16	1
146091	0	22687
146091	1	777
146091	2	138
146091	3	122
146091	4	55
146091	5	55
146091	6	88
146091	7	26
146091	8	31
146091	9	7
146091	10	24
146091	11	8
146091	12	2
146091	13	4
146091	14	6
146092	0	19075
146092	1	868
146092	2	138
146092	3	109
146092	4	71
146092	5	44
146092	6	100
146092	7	48
146092	8	24
146092	9	2
146092	10	10
146092	11	9
146092	12	1
146092	13	3
146092	14	9
146093	0	20297
146093	1	889
146093	2	152
146093	3	107
146093	4	53
146093	5	40
146093	6	67
146093	7	37
146093	8	25
146093	9	11
146093	10	11
146093	11	11
146093	13	10
146093	14	3
146094	0	11613
146094	1	480
146094	2	84
146094	3	48
146094	4	32
146094	5	17
146094	6	42
146094	7	107
146094	8	18
146094	9	5
146094	10	10
146094	11	6
146094	13	1
146095	0	12183
146095	1	491
146095	2	68
146095	3	55
146095	4	49
146095	5	69
146095	6	44
146095	7	19
146095	8	25
146095	9	6
146095	10	5
146095	11	9
146095	13	2
146095	14	2
146095	15	1
146095	17	3
146095	18	1
146096	0	10925
146096	1	359
146096	2	173
146096	3	66
146096	4	52
146096	5	25
146096	6	80
146096	7	20
146096	8	11
146096	9	4
146096	10	17
146096	11	13
146096	12	5
146096	13	4
146096	14	4
146096	15	2
146097	0	11077
146097	1	423
146097	2	55
146097	3	59
146097	4	34
146097	5	20
146097	6	59
146097	7	20
146097	8	16
146097	9	6
146097	10	21
146097	11	9
146097	13	9
146097	15	1
146098	0	11862
146098	1	444
146098	2	66
146098	3	68
146098	4	45
146098	5	28
146098	6	137
146098	7	27
146098	8	16
146098	9	7
146098	10	6
146098	11	5
146098	12	5
146098	13	8
146099	0	9812
146099	1	511
146099	2	54
146099	3	157
146099	4	36
146099	5	9
146099	6	46
146099	7	25
146099	8	16
146099	9	1
146099	10	21
146099	11	7
146099	12	2
146099	13	15
146099	16	1
146099	17	1
146100	0	10139
146100	1	434
146100	2	61
146100	3	64
146100	4	42
146100	5	34
146100	6	58
146100	7	19
146100	8	10
146100	9	9
146100	10	25
146100	11	10
146100	13	8
146100	14	8
146100	15	6
146101	0	11456
146101	1	451
146101	2	61
146101	3	59
146101	4	33
146101	5	19
146101	6	49
146101	7	48
146101	8	14
146101	9	23
146101	10	7
146101	11	8
146101	12	6
146101	13	9
146102	0	9696
146102	1	303
146102	2	36
146102	3	62
146102	4	18
146102	5	18
146102	6	65
146102	7	21
146102	8	12
146102	9	6
146102	10	14
146102	11	5
146102	12	5
146102	13	2
146102	14	2
146102	15	3
146103	0	7809
146103	1	274
146103	2	46
146103	3	44
146103	4	17
146103	5	13
146103	6	25
146103	7	10
146103	8	17
146103	9	2
146103	10	10
146103	11	6
146103	12	2
146103	13	8
146103	14	6
146103	15	3
146104	0	9483
146104	1	243
146104	2	30
146104	3	30
146104	4	39
146104	5	12
146104	6	37
146104	7	7
146104	8	11
146104	9	2
146104	10	2
146104	11	6
146104	13	4
146105	0	3916
146105	1	149
146105	2	20
146105	3	20
146105	4	7
146105	5	5
146105	6	21
146105	7	7
146105	8	13
146105	10	3
146105	11	2
146105	12	1
146105	13	2
146106	0	12184
146106	1	333
146106	2	36
146106	3	42
146106	4	12
146106	5	5
146106	6	31
146106	7	15
146106	8	12
146106	9	1
146106	10	9
146106	11	5
146106	12	2
146106	13	1
146106	14	1
146107	0	10395
146107	1	261
146107	2	36
146107	3	64
146107	4	27
146107	5	11
146107	6	39
146107	7	15
146107	8	8
146107	9	1
146107	10	8
146107	11	5
146107	13	4
146107	14	2
146108	0	7448
146108	1	208
146108	2	29
146108	3	18
146108	4	20
146108	5	13
146108	6	27
146108	7	12
146108	8	18
146108	9	1
146108	10	8
146108	11	8
146108	12	1
146108	13	4
146108	14	2
146109	0	2769
146109	1	118
146109	2	12
146109	3	14
146109	4	8
146109	5	3
146109	6	16
146109	7	5
146109	8	7
146109	9	1
146109	10	1
146109	11	6
146109	13	1
146110	0	11966
146110	1	386
146110	2	44
146110	3	46
146110	4	34
146110	5	14
146110	6	29
146110	7	13
146110	8	14
146110	9	1
146110	10	9
146110	11	3
146110	12	1
146110	13	3
153001	0	189210
153001	1	5673
153001	2	634
153001	3	1154
153001	4	1014
153001	5	582
153001	6	1372
153001	7	471
153001	8	424
153001	9	82
153001	10	396
153001	11	260
153001	12	121
153001	13	207
153001	14	79
153001	15	75
153001	16	6
153001	17	5
153001	18	19
153002	0	42853
153002	1	902
153002	2	177
153002	3	338
153002	4	250
153002	5	173
153002	6	376
153002	7	197
153002	8	143
153002	9	22
153002	10	104
153002	11	74
153002	12	17
153002	13	57
153002	14	24
153002	15	18
153002	16	1
153005	0	97603
153005	1	2870
153005	2	366
153005	3	951
153005	4	636
153005	5	380
153005	6	855
153005	7	325
153005	8	219
153005	9	37
153005	10	140
153005	11	96
153005	12	73
153005	13	76
153005	14	59
153005	15	19
153005	16	5
153005	18	4
153007	0	74418
153007	1	2182
153007	2	298
153007	3	657
153007	4	569
153007	5	413
153007	6	793
153007	7	306
153007	8	234
153007	9	57
153007	10	151
153007	11	116
153007	12	49
153007	13	75
153007	14	45
153007	15	21
153007	16	6
153007	17	10
153007	18	4
153009	0	96653
153009	1	2342
153009	2	318
153009	3	940
153009	4	673
153009	5	389
153009	6	942
153009	7	322
153009	8	231
153009	9	88
153009	10	221
153009	11	264
153009	12	183
153009	13	280
153009	14	55
153009	15	26
153009	16	7
153009	17	1
153009	18	3
153011	0	58872
153011	1	3071
153011	2	412
153011	3	1032
153011	4	688
153011	5	445
153011	6	1208
153011	7	390
153011	8	291
153011	9	54
153011	10	216
153011	11	132
153011	12	52
153011	13	94
153011	14	58
153011	15	30
153011	16	3
153011	17	6
153011	18	9
153015	0	62089
153015	1	2776
153015	2	346
153015	3	744
153015	4	592
153015	5	393
153015	6	917
153015	7	609
153015	8	270
153015	9	111
153015	10	239
153015	11	79
153015	12	24
153015	13	51
153015	14	61
153015	15	19
153015	16	9
153015	17	3
153015	18	3
153017	0	75421
153017	1	3459
153017	2	468
153017	3	1004
153017	4	735
153017	5	422
153017	6	1232
153017	7	396
153017	8	278
153017	9	44
153017	10	168
153017	11	92
153017	12	57
153017	13	113
153017	14	90
153017	15	24
153017	16	6
153017	17	8
153019	0	49409
153019	1	2092
153019	2	306
153019	3	643
153019	4	471
153019	5	266
153019	6	696
153019	7	234
153019	8	197
153019	9	46
153019	10	116
153019	11	73
153019	12	25
153019	13	52
153019	14	46
153019	15	16
153019	16	3
153019	17	3
153020	0	54496
153020	1	2467
153020	2	360
153020	3	768
153020	4	604
153020	5	365
153020	6	1006
153020	7	351
153020	8	276
153020	9	50
153020	10	195
153020	11	114
153020	12	27
153020	13	66
153020	14	51
153020	15	19
153020	16	6
153020	17	3
153020	18	2
153023	0	49316
153023	1	2461
153023	2	312
153023	3	831
153023	4	544
153023	5	265
153023	6	996
153023	7	338
153023	8	285
153023	9	72
153023	10	244
153023	11	124
153023	12	47
153023	13	107
153023	14	81
153023	15	30
153023	16	3
153023	17	10
153023	18	9
153028	0	29792
153028	1	1339
153028	2	220
153028	3	377
153028	4	340
153028	5	195
153028	6	651
153028	7	213
153028	8	168
153028	9	29
153028	10	110
153028	11	56
153028	12	19
153028	13	45
153028	14	27
153028	15	4
153028	16	3
153028	17	2
153030	0	30086
153030	1	1118
153030	2	183
153030	3	420
153030	4	332
153030	5	158
153030	6	556
153030	7	175
153030	8	140
153030	9	37
153030	10	72
153030	11	66
153030	12	13
153030	13	32
153030	14	33
153030	15	13
153030	16	2
153030	17	2
153030	18	1
153033	0	29571
153033	1	1288
153033	2	254
153033	3	361
153033	4	328
153033	5	223
153033	6	722
153033	7	278
153033	8	341
153033	9	125
153033	10	656
153033	11	160
153033	12	60
153033	13	136
153033	14	61
153033	15	30
153033	16	9
153033	18	1
153040	0	27589
153040	1	1031
153040	2	145
153040	3	309
153040	4	219
153040	5	143
153040	6	371
153040	7	133
153040	8	236
153040	9	34
153040	10	73
153040	11	38
153040	12	6
153040	13	24
153040	14	35
153040	15	14
153040	16	2
153040	17	2
153040	18	5
153042	0	44308
153042	1	1410
153042	2	350
153042	3	372
153042	4	339
153042	5	188
153042	6	583
153042	7	249
153042	8	197
153042	9	30
153042	10	104
153042	11	83
153042	12	21
153042	13	55
153042	14	62
153042	15	13
153042	16	5
153042	17	2
153042	18	3
153043	0	30538
153043	1	996
153043	2	187
153043	3	299
153043	4	247
153043	5	120
153043	6	317
153043	7	122
153043	8	82
153043	9	21
153043	10	27
153043	11	27
153043	12	10
153043	13	38
153043	14	25
153043	15	5
153043	16	3
153043	17	1
153043	18	1
153046	0	13507
153046	1	354
153046	2	89
153046	3	97
153046	4	112
153046	5	42
153046	6	127
153046	7	46
153046	8	41
153046	9	9
153046	10	43
153046	11	26
153046	12	18
153046	13	10
153046	14	2
153046	15	6
153046	16	2
153048	0	15079
153048	1	448
153048	2	96
153048	3	122
153048	4	112
153048	5	79
153048	6	166
153048	7	78
153048	8	75
153048	9	52
153048	10	42
153048	11	24
153048	12	20
153048	13	22
153048	14	17
153048	15	3
153048	16	5
153049	0	18060
153049	1	475
153049	2	88
153049	3	177
153049	4	101
153049	5	73
153049	6	194
153049	7	52
153049	8	73
153049	9	18
153049	10	80
153049	11	43
153049	12	8
153049	13	18
153049	14	35
153049	15	10
153049	16	5
153049	18	2
153052	0	23749
153052	1	729
153052	2	162
153052	3	280
153052	4	174
153052	5	126
153052	6	332
153052	7	199
153052	8	154
153052	9	92
153052	10	138
153052	11	91
153052	12	19
153052	13	54
153052	14	34
153052	15	35
153052	16	2
153052	17	1
153052	18	1
153062	0	23184
153062	1	363
153062	2	90
153062	3	121
153062	4	109
153062	5	63
153062	6	189
153062	7	74
153062	8	63
153062	9	32
153062	10	34
153062	11	50
153062	12	17
153062	13	37
153062	14	10
153062	15	2
153062	18	1
153064	0	33839
153064	1	385
153064	2	85
153064	3	130
153064	4	92
153064	5	66
153064	6	144
153064	7	71
153064	8	61
153064	9	10
153064	10	56
153064	11	27
153064	12	6
153064	13	16
153064	14	19
153064	15	1
153064	16	2
153064	17	1
153064	18	1
153068	0	20260
153068	1	315
153068	2	142
153068	3	128
153068	4	117
153068	5	54
153068	6	205
153068	7	90
153068	8	92
153068	9	14
153068	10	57
153068	11	20
153068	12	9
153068	13	26
153068	14	17
153068	15	2
153068	16	1
153068	17	1
153068	18	1
153072	0	11923
153072	1	319
153072	2	70
153072	3	118
153072	4	104
153072	5	99
153072	6	176
153072	7	70
153072	8	65
153072	9	12
153072	10	77
153072	11	41
153072	12	20
153072	13	17
153072	14	14
153072	15	2
153076	0	6451
153076	1	153
153076	2	20
153076	3	96
153076	4	78
153076	5	74
153076	6	128
153076	7	45
153076	8	31
153076	9	10
153076	10	22
153076	11	22
153076	12	3
153076	13	6
153076	14	8
153076	15	2
153076	16	1
153076	17	1
153078	0	6943
153078	1	409
153078	2	35
153078	3	86
153078	4	77
153078	5	89
153078	6	105
153078	7	81
153078	8	35
153078	10	48
153078	11	23
153078	12	47
153078	13	22
153078	14	6
153078	15	3
153078	16	1
153078	17	1
153080	0	7444
153080	1	205
153080	2	34
153080	3	323
153080	4	101
153080	5	221
153080	6	118
153080	7	55
153080	8	22
153080	9	5
153080	10	34
153080	11	10
153080	12	6
153080	13	19
153080	14	18
153080	16	2
153084	0	6910
153084	1	307
153084	2	49
153084	3	175
153084	4	180
153084	5	102
153084	6	161
153084	7	42
153084	8	24
153084	9	7
153084	10	18
153084	11	14
153084	12	7
153084	13	6
153084	14	6
153085	0	6123
153085	1	390
153085	2	76
153085	3	73
153085	4	37
153085	5	22
153085	6	98
153085	7	66
153085	8	14
153085	9	4
153085	10	8
153085	11	14
153085	12	8
153085	13	12
153085	14	5
153085	15	3
153086	0	4098
153086	1	198
153086	2	49
153086	3	44
153086	4	37
153086	5	21
153086	6	54
153086	7	37
153086	8	21
153086	9	6
153086	10	21
153086	11	13
153086	12	7
153086	13	10
153086	14	2
153086	15	2
153086	17	3
153091	0	4167
153091	1	176
153091	2	29
153091	3	26
153091	4	10
153091	5	18
153091	6	30
153091	7	7
153091	8	16
153091	9	7
153091	10	6
153091	11	3
153091	12	3
153091	13	3
153091	14	3
153091	15	1
153091	17	1
153093	0	3143
153093	1	129
153093	2	22
153093	3	22
153093	4	19
153093	5	11
153093	6	32
153093	7	13
153093	8	14
153093	9	3
153093	10	10
153093	11	9
153093	12	1
153093	13	5
153093	14	2
153095	0	1752
153095	1	99
153095	2	17
153095	3	20
153095	4	13
153095	5	8
153095	6	31
153095	7	21
153095	8	25
153095	9	4
153095	10	8
153095	11	3
153095	12	2
153095	14	1
153097	0	2601
153097	1	127
153097	2	12
153097	3	18
153097	4	14
153097	5	15
153097	6	17
153097	7	14
153097	8	8
153097	9	5
153097	10	7
153097	11	9
153097	12	1
153097	13	3
153099	0	3202
153099	1	149
153099	2	14
153099	3	25
153099	4	18
153099	5	18
153099	6	29
153099	7	16
153099	8	9
153099	10	7
153099	11	3
153099	13	1
153099	14	1
153100	0	2646
153100	1	123
153100	2	17
153100	3	12
153100	4	17
153100	5	17
153100	6	25
153100	7	6
153100	8	7
153100	9	3
153100	10	5
153100	13	2
153100	14	2
153100	15	1
153100	16	1
153101	0	2479
153101	1	145
153101	2	18
153101	3	20
153101	4	16
153101	5	7
153101	6	21
153101	7	18
153101	8	7
153101	9	1
153101	10	12
153101	11	1
153101	12	2
153101	14	3
153102	0	2693
153102	1	120
153102	2	20
153102	3	5
153102	4	15
153102	5	17
153102	6	23
153102	7	5
153102	8	9
153102	9	2
153102	10	6
153102	11	1
153102	12	1
153102	13	1
153102	15	1
153102	16	1
153103	0	2366
153103	1	99
153103	2	9
153103	3	10
153103	4	23
153103	5	6
153103	6	18
153103	7	8
153103	8	5
153103	10	9
153103	11	2
153103	12	2
153103	15	1
153104	0	2490
153104	1	111
153104	2	18
153104	3	7
153104	4	20
153104	5	9
153104	6	23
153104	7	8
153104	8	14
153104	9	6
153104	10	7
153104	11	1
153104	15	1
153105	0	1905
153105	1	81
153105	2	9
153105	3	11
153105	4	13
153105	5	24
153105	6	11
153105	7	7
153105	8	8
153105	9	1
153105	12	2
153105	13	1
153106	0	741
153106	1	44
153106	2	7
153106	3	3
153106	4	7
153106	5	3
153106	6	17
153106	7	4
153106	8	7
153106	9	1
153106	10	4
153107	0	2189
153107	1	92
153107	2	12
153107	3	1
153107	4	9
153107	5	4
153107	6	10
153107	7	9
153107	8	8
153107	10	3
153107	11	3
153108	0	1196
153108	1	78
153108	2	14
153108	3	1
153108	4	17
153108	5	5
153108	6	7
153108	7	7
153108	8	4
153108	10	4
153108	11	4
153108	13	1
153108	14	1
153108	15	1
153109	0	912
153109	1	52
153109	2	7
153109	3	4
153109	4	3
153109	5	3
153109	6	12
153109	7	3
153109	8	1
153109	10	2
153109	13	1
153110	0	843
153110	1	49
153110	2	2
153110	3	4
153110	4	5
153110	5	6
153110	6	12
153110	7	4
153110	8	2
153110	9	4
153110	10	6
153110	11	1
153110	14	1
153111	0	1560
153111	1	69
153111	2	3
153111	3	3
153111	4	15
153111	5	2
153111	6	10
153111	7	4
153111	8	4
153111	10	5
153112	0	1271
153112	1	71
153112	2	11
153112	3	4
153112	4	2
153112	5	7
153112	6	11
153112	8	1
153112	10	1
153113	0	1047
153113	1	67
153113	2	8
153113	3	8
153113	4	9
153113	5	4
153113	6	10
153113	7	6
153113	8	6
153114	0	1138
153114	1	54
153114	3	6
153114	4	13
153114	5	3
153114	6	8
153114	7	4
153114	10	1
153114	11	6
153114	13	1
153115	0	1145
153115	1	49
153115	2	4
153115	3	1
153115	4	6
153115	5	3
153115	6	5
153115	7	1
153117	0	1
153118	0	2
153119	0	3
153990	0	2
240001	0	13846
240001	1	321
240001	2	168
240001	3	240
240001	4	151
240001	5	120
240001	6	1220
240001	7	186
240001	8	247
240001	9	26
240001	10	132
240001	11	82
240001	12	32
240001	13	51
240001	14	33
240001	15	1
240001	16	5
240001	17	1
240002	0	6413
240002	1	175
240002	2	86
240002	3	72
240002	4	73
240002	5	65
240002	6	114
240002	7	120
240002	8	131
240002	9	65
240002	10	54
240002	11	61
240002	12	11
240002	13	16
240002	14	18
240002	15	3
240002	16	1
247001	0	111927
247001	1	2333
247001	2	602
247001	3	631
247001	4	392
247001	5	259
247001	6	438
247001	7	215
247001	8	196
247001	9	50
247001	10	155
247001	11	88
247001	12	16
247001	13	55
247001	14	45
247001	15	27
247001	16	1
247001	17	1
247001	18	3
247005	0	70181
247005	1	1805
247005	2	533
247005	3	639
247005	4	461
247005	5	388
247005	6	760
247005	7	444
247005	8	437
247005	9	116
247005	10	218
247005	11	157
247005	12	31
247005	13	102
247005	14	39
247005	15	16
247005	16	2
247005	17	1
247005	18	1
247009	0	143738
247009	1	2865
247009	2	702
247009	3	738
247009	4	522
247009	5	297
247009	6	631
247009	7	236
247009	8	197
247009	9	49
247009	10	130
247009	11	98
247009	12	32
247009	13	78
247009	14	32
247009	15	16
247009	16	7
247009	17	1
247009	18	1
247023	0	25513
247023	1	1016
247023	2	318
247023	3	438
247023	4	232
247023	5	157
247023	6	612
247023	7	303
247023	8	272
247023	9	77
247023	10	150
247023	11	102
247023	12	31
247023	13	52
247023	14	45
247023	15	5
247023	16	1
247023	17	1
247990	0	1
250001	0	90304
250001	1	1501
250001	2	510
250001	3	465
250001	4	313
250001	5	251
250001	6	552
250001	7	222
250001	8	252
250001	9	63
250001	10	223
250001	11	219
250001	12	58
250001	13	76
250001	14	55
250001	15	18
250001	16	10
250001	17	5
250001	18	3
