gateway_id	AVG(diamond_blue)	AVG(diamond_red)	AVG(unbuond_money)	AVG(zhenqi)	AVG(lingqi)	AVG(pvp_honor)	AVG(renown)	AVG(exploit)
153095	360.0256	2311.3590	21761472.0769	15884116.2821	478409.0256	71142.4615	784.7436	1182.5897
153097	109.7143	3123.1270	22075484.0635	13057495.8730	740760.2540	66601.0952	1077.2222	1244.6825
153099	20.0833	3045.4792	19845481.0417	19516174.5208	1520796.0417	127022.2500	3359.7917	2272.0833
153100	613.2632	2433.3947	24721704.1579	7930518.1316	269396.6842	101429.1579	406.7105	1637.2105
153101	557.1884	3106.3768	31010679.4058	9673892.4638	1021153.8696	64429.4783	767.4638	1778.0725
153102	277.5079	4603.0000	24657401.0952	6013577.7778	1284536.2222	62275.0952	1654.2063	1932.2857
153103	554.6923	2181.1538	14222102.6923	6924703.5128	365676.6410	69754.4615	995.6410	1426.0513
153104	329.7451	3584.3529	15595692.2745	5228894.7157	798443.6275	40828.9118	905.8824	3152.6961
153105	89.7391	6032.4348	29334017.8478	3931232.5870	442296.4783	66451.4130	401.7391	1546.5870
153106	115.9231	2194.2564	6434136.1026	6646283.6667	236157.0513	46063.0256	675.3846	436.8974
153107	269.8594	1891.4688	10692796.7500	3382289.2656	194349.0000	41811.3750	593.0469	545.3281
153108	28.3704	6281.0741	15500797.6296	7762771.9259	101248.9259	40368.5185	112.5926	1700.8519
153109	57.1875	812.5625	7882415.1250	2463547.5000	103494.7188	29744.5313	191.2500	429.2500
153110	223.2889	4691.0667	9781554.0889	4266020.0889	1775267.3778	27072.5222	1166.6667	1278.2222
153111	18.8696	1435.8913	4640315.2391	1999128.2826	105289.5652	16120.2717	695.4348	671.1304
153112	24.0750	1316.2750	5302389.2333	1278893.5083	82060.6833	10631.7417	364.1667	290.6083
153113	91.1538	949.0598	5766343.3675	791108.0940	90603.0342	9254.0256	315.3419	422.6239
153114	43.3095	895.0136	3167782.7177	541064.2891	144666.5986	3790.2959	147.9252	276.2551
153115	8.0595	143.1138	735286.2430	44661.3976	34591.4579	467.9558	21.0663	10.9941
240001	130.2991	4970.7723	48411439.4286	22025647.6205	840814.2946	88738.2411	2870.2009	2152.5714
240002	46.0149	4173.4925	116608459.1642	33059885.7687	676903.5672	128593.9925	3006.9403	1538.5522
247001	156.7004	4890.9747	43727002.2785	16757782.7131	727692.5443	81618.5570	1933.6076	1534.2700
247005	509.3186	3874.2301	67200026.1106	15630702.6372	635575.1150	63594.6150	1722.1681	1388.9115
247009	212.6448	3476.2085	47422353.3591	21413343.6988	621578.2471	80073.9189	2259.5367	12567.2703
247023	454.0547	4317.3398	56062619.7188	22171667.5781	489413.8594	82924.5938	2310.0000	1913.4141
250001	335.1010	3554.0000	38453264.7172	17748670.1481	451017.8485	76146.6397	2115.7071	2394.8822
