role_id	gateway_id	char_level	pet_sheet	pet_sheet_name	pet_level	pet_savvy	pet_grow	pet_skill_num	pet_equip_level_plus
9797162	153087	132	040003027.pet	神兽-屠媚	132	25000	24700	9	27
9797162	153087	132	040005027.pet	神兽-屠媚	1	2000	22200	6	6
9800437	153087	134	040003004.pet	神兽-魁麟	134	53000	23300	11	12
9800437	153087	134	040003012.pet	变异-青鸟	1	14000	17700	5	6
9800437	153087	134	040003046.pet	神兽-九尾狐	134	55000	22600	9	39
9800437	153087	134	040003046.pet	神兽-九尾狐	134	36000	22200	12	30
9800437	153087	134	040002026.pet	宝宝-黑熊	1	0	19800	3	6
9800437	153087	134	040003021.pet	变异-夺命魔蝎	1	0	22600	4	6
9802195	153087	130	040005027.pet	神兽-屠媚	121	0	27600	10	6
9802195	153087	130	040003063.pet	变异-雪狐	26	0	26800	10	6
9802195	153087	130	040003027.pet	神兽-屠媚	130	25000	26700	12	33
9802195	153087	130	040003027.pet	神兽-屠媚	129	42000	26000	6	36
9804083	153087	129	040003063.pet	变异-雪狐	104	17000	28100	10	24
9804083	153087	129	040005027.pet	神兽-屠媚	129	22000	26700	8	24
9804083	153087	129	040003026.pet	变异-黑熊	129	40000	20300	6	36
9804681	153087	101	040005011.pet	新手-灵貂小宝	37	0	15100	3	6
9804681	153087	101	040005048.pet	变异-巧虎	101	2000	16700	6	6
9804681	153087	101	040002060.pet	变异-闪电虎	1	0	15100	2	6
9806132	153087	135	040003018.pet	变异-灵貂小宝·�	2	0	18300	5	6
9806132	153087	135	040003027.pet	神兽-屠媚	134	40000	22000	7	18
9806132	153087	135	040003027.pet	神兽-屠媚	134	54000	22900	6	32
9806132	153087	135	040003004.pet	神兽-魁麟	126	50000	20553	9	36
9807621	153087	133	040003041.pet	神兽-云中雷	133	50000	20600	10	37
9807621	153087	133	040003041.pet	神兽-云中雷	94	0	20600	10	6
9807621	153087	133	040003041.pet	神兽-云中雷	133	52000	21400	12	36
9812487	153087	127	040002018.pet	宝宝-灵貂小宝·�	109	18000	25300	9	24
9812487	153087	127	040003027.pet	神兽-屠媚	126	35000	18300	6	30
9812487	153087	127	040003018.pet	变异-灵貂小宝·�	71	0	19200	5	12
9812487	153087	127	040002013.pet	宝宝-调皮鬼	1	0	18400	4	6
9812487	153087	127	040002060.pet	变异-闪电虎	7	0	13800	6	6
9813124	153087	113	040002018.pet	宝宝-灵貂小宝·�	108	12000	19100	9	12
9813124	153087	113	040003018.pet	变异-灵貂小宝·�	98	0	22400	8	6
9816985	153087	89	040002019.pet	变异-神机巧偶	1	0	15000	1	6
9816985	153087	89	040002019.pet	变异-神机巧偶	1	0	15200	1	6
9816985	153087	89	040005048.pet	变异-巧虎	14	0	16800	4	6
9816985	153087	89	040005011.pet	新手-灵貂小宝	68	2000	15200	4	6
9820671	153087	115	040005048.pet	变异-巧虎	98	0	17300	3	6
9820671	153087	115	040003018.pet	变异-灵貂小宝·�	103	18000	22200	8	6
9821766	153087	134	040003004.pet	神兽-魁麟	134	0	27500	11	6
9821766	153087	134	040003041.pet	神兽-云中雷	134	40000	22000	7	24
9821766	153087	134	040005041.pet	神兽-云中雷	134	51000	22000	10	48
9821766	153087	134	040003027.pet	神兽-屠媚	127	0	28000	8	6
9821782	153087	134	040003032.pet	变异-大尾	1	0	28500	7	6
9821782	153087	134	040003014.pet	神兽-熊元帅	133	19000	22500	8	18
9821782	153087	134	040003047.pet	神兽-犀利狼	131	39000	23100	9	18
9821782	153087	134	040003036.pet	神兽-无常	134	55000	23800	16	48
9821784	146086	131	040002021.pet	宝宝-夺命魔蝎	1	0	19000	3	6
9821784	146086	131	040005041.pet	神兽-云中雷	113	10000	23000	10	6
9821784	146086	131	040003036.pet	神兽-无常	131	40000	24200	14	6
9821784	146086	131	040003014.pet	神兽-熊元帅	130	40000	24200	11	48
9821792	153087	134	040003035.pet	神兽-玲珑	134	50000	27000	14	7
9821792	153087	134	040003038.pet	变异-狐尼克	1	0	19100	5	6
9821792	153087	134	040003046.pet	神兽-九尾狐	117	40000	21000	12	6
9821792	153087	134	040003004.pet	神兽-魁麟	134	70000	29700	18	50
9821792	153087	134	040003032.pet	变异-大尾	1	0	22400	4	6
9821792	153087	134	040003027.pet	神兽-屠媚	134	40000	24800	6	6
9821798	146086	132	040003018.pet	变异-灵貂小宝·�	1	0	22500	4	6
9821798	146086	132	040003036.pet	神兽-无常	132	66000	23700	14	24
9821798	146086	132	040003028.pet	神兽-白虎	132	70000	28700	14	48
9821798	146086	132	040002021.pet	宝宝-夺命魔蝎	1	0	20100	4	6
9821798	146086	132	040003041.pet	神兽-云中雷	105	0	22100	10	6
9821801	146086	131	040003041.pet	神兽-云中雷	130	27000	22900	11	9
9821801	146086	131	040003014.pet	神兽-熊元帅	131	40000	27700	5	16
9821801	146086	131	040005027.pet	神兽-屠媚	45	0	20800	4	6
9821801	146086	131	040003047.pet	神兽-犀利狼	131	55000	24890	8	48
9821804	153087	131	040001013.pet	成年-调皮鬼	1	0	12300	4	6
9821804	153087	131	040005027.pet	神兽-屠媚	130	24000	22700	16	30
9821804	153087	131	040003012.pet	变异-青鸟	130	44000	23200	8	34
9821804	153087	131	040002018.pet	宝宝-灵貂小宝·�	1	9000	19900	8	12
9821804	153087	131	040003018.pet	变异-灵貂小宝·�	125	23000	20800	4	6
9821822	146086	132	040003018.pet	变异-灵貂小宝·�	88	0	22900	4	6
9821822	146086	132	040001013.pet	成年-调皮鬼	1	0	12800	4	6
9821822	146086	132	040003014.pet	神兽-熊元帅	132	50000	19200	5	36
9821822	146086	132	040003046.pet	神兽-九尾狐	132	67000	23500	10	42
9821853	146086	131	040005027.pet	神兽-屠媚	131	43000	23388	6	40
9821853	146086	131	040002013.pet	宝宝-调皮鬼	1	0	15500	4	6
9821853	146086	131	040002013.pet	宝宝-调皮鬼	1	0	18100	8	6
9821853	146086	131	040003027.pet	神兽-屠媚	130	23000	28500	6	20
9821853	146086	131	040003012.pet	变异-青鸟	85	40000	22200	10	23
9821854	146086	83	040005011.pet	新手-灵貂小宝	17	0	15200	3	6
9821854	146086	83	040005048.pet	变异-巧虎	49	0	16600	4	6
9821855	146086	82	040005011.pet	新手-灵貂小宝	53	0	14900	3	6
9821855	146086	82	040005048.pet	变异-巧虎	1	0	16600	9	6
9821855	146086	82	040002019.pet	变异-神机巧偶	1	0	14800	1	6
9821924	146086	109	040002022.pet	宝宝-剑灵	1	0	13800	3	6
9821924	146086	109	040003018.pet	变异-灵貂小宝·�	107	19000	18300	8	12
9821924	146086	109	040002018.pet	宝宝-灵貂小宝·�	96	0	21600	8	6
9821954	153087	134	040003038.pet	变异-狐尼克	1	0	22200	4	6
9821954	153087	134	040001013.pet	成年-调皮鬼	1	0	10800	4	6
9821954	153087	134	040001013.pet	成年-调皮鬼	1	0	11800	4	6
9821954	153087	134	040003046.pet	神兽-九尾狐	134	70000	18669	16	48
9821954	153087	134	040003027.pet	神兽-屠媚	134	37000	23800	10	12
9821954	153087	134	040003004.pet	神兽-魁麟	134	57000	24300	8	24
9821958	146086	115	040003018.pet	变异-灵貂小宝·�	1	0	22000	9	6
9821958	146086	115	040003026.pet	变异-黑熊	94	5000	21400	12	18
9821958	146086	115	040003026.pet	变异-黑熊	112	25000	21400	3	6
9821963	146086	128	040003018.pet	变异-灵貂小宝·�	124	31000	20000	3	6
9821963	146086	128	040005027.pet	神兽-屠媚	128	28000	18900	10	36
9821963	146086	128	040003021.pet	变异-夺命魔蝎	1	0	22900	10	6
9821963	146086	128	040003027.pet	神兽-屠媚	127	27000	28000	10	6
9821971	146086	132	040003032.pet	变异-大尾	1	0	22300	5	6
9821971	146086	132	040003012.pet	变异-青鸟	101	0	22300	4	6
9821971	146086	132	040002013.pet	宝宝-调皮鬼	1	0	15100	3	6
9821971	146086	132	040002013.pet	宝宝-调皮鬼	1	0	17600	4	6
9821971	146086	132	040005027.pet	神兽-屠媚	132	50000	22800	12	24
9821971	146086	132	040003004.pet	神兽-魁麟	132	53000	24100	16	48
9821979	146086	131	040003041.pet	神兽-云中雷	131	40000	27600	10	42
9821979	146086	131	040003014.pet	神兽-熊元帅	129	41000	24300	7	12
9821979	146086	131	040005041.pet	神兽-云中雷	131	10000	26000	8	22
9822001	146086	132	040003014.pet	神兽-熊元帅	106	0	23900	4	6
9822001	146086	132	040003036.pet	神兽-无常	132	60000	24100	6	24
9822001	146086	132	040003027.pet	神兽-屠媚	1	0	20700	6	6
9822001	146086	132	040003028.pet	神兽-白虎	132	72000	29300	10	48
9822001	146086	132	040003021.pet	变异-夺命魔蝎	1	0	22500	5	6
9822175	146086	112	040005011.pet	新手-灵貂小宝	52	0	15300	3	6
9822175	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	14800	4	6
9822175	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	15800	4	6
9822175	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	13800	4	6
9822175	146086	112	040005048.pet	变异-巧虎	111	0	17700	4	6
9822176	146086	111	040005011.pet	新手-灵貂小宝	52	0	15300	3	6
9822176	146086	111	040005048.pet	变异-巧虎	111	0	16700	4	6
9822177	146086	111	040005011.pet	新手-灵貂小宝	51	0	16400	3	6
9822177	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822177	146086	111	040005048.pet	变异-巧虎	111	0	18100	5	6
9822177	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	13100	4	6
9822178	146086	111	040005011.pet	新手-灵貂小宝	52	0	15000	3	6
9822178	146086	111	040005048.pet	变异-巧虎	111	0	16900	5	6
9822178	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822179	146086	111	040005011.pet	新手-灵貂小宝	52	0	14000	3	6
9822179	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822179	146086	111	040005048.pet	变异-巧虎	111	0	16900	5	6
9822179	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15200	4	6
9822180	146086	111	040005011.pet	新手-灵貂小宝	52	0	14900	3	6
9822180	146086	111	040005048.pet	变异-巧虎	110	0	15700	4	6
9822181	146086	111	040005011.pet	新手-灵貂小宝	52	0	16200	3	6
9822181	146086	111	040005048.pet	变异-巧虎	111	0	16900	4	6
9822181	146086	111	040003015.pet	变异-灵貂小宝·�	1	0	16300	4	6
9822181	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	13200	4	6
9822181	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14900	4	6
9822182	146086	111	040005011.pet	新手-灵貂小宝	52	0	15600	3	6
9822182	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14100	4	6
9822182	146086	111	040005048.pet	变异-巧虎	111	0	16800	4	6
9822182	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15100	4	6
9822182	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15500	4	6
9822183	146086	111	040005011.pet	新手-灵貂小宝	51	0	15600	3	6
9822183	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15200	4	6
9822183	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14800	4	6
9822183	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15500	4	6
9822183	146086	111	040005048.pet	变异-巧虎	111	0	15300	4	6
9822184	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15200	4	6
9822184	146086	111	040005011.pet	新手-灵貂小宝	51	0	14500	3	6
9822184	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	17700	4	6
9822184	146086	111	040005048.pet	变异-巧虎	111	0	16100	5	6
9822184	146086	111	040003015.pet	变异-灵貂小宝·�	1	0	16300	4	6
9822185	146086	111	040005011.pet	新手-灵貂小宝	51	0	15200	3	6
9822185	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15600	4	6
9822185	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15400	4	6
9822185	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14800	4	6
9822185	146086	111	040005048.pet	变异-巧虎	111	0	16800	5	6
9822186	146086	111	040005011.pet	新手-灵貂小宝	51	0	14300	3	6
9822186	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15600	4	6
9822186	146086	111	040005048.pet	变异-巧虎	111	0	16400	4	6
9822186	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15400	4	6
9822186	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14800	4	6
9822265	146086	132	040003032.pet	变异-大尾	1	0	26900	10	6
9822265	146086	132	040003035.pet	神兽-玲珑	77	6000	22100	10	6
9822265	146086	132	040003035.pet	神兽-玲珑	132	70000	25200	14	42
9822265	146086	132	040003029.pet	神兽-朱雀	132	40000	21000	8	31
9822304	146086	128	040003041.pet	神兽-云中雷	125	40000	21800	10	8
9822304	146086	128	040003014.pet	神兽-熊元帅	128	67000	24100	8	36
9822679	146086	126	040003025.pet	变异-追夜犬	124	20000	22800	5	21
9822679	146086	126	040003041.pet	神兽-云中雷	103	0	21400	13	9
9822679	146086	126	040002021.pet	宝宝-夺命魔蝎	1	0	23300	4	6
9822679	146086	126	040003041.pet	神兽-云中雷	125	31000	22600	14	26
9822764	146086	112	040003015.pet	变异-灵貂小宝·�	1	0	17100	5	6
9822764	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	16400	4	6
9822764	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	15200	4	6
9822764	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	15100	4	6
9822764	146086	112	040005048.pet	变异-巧虎	111	0	17200	4	6
9822765	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822765	146086	112	040005011.pet	新手-灵貂小宝	49	0	16200	3	6
9822765	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	17500	4	6
9822765	146086	112	040005048.pet	变异-巧虎	111	0	16800	4	6
9822766	146086	112	040005011.pet	新手-灵貂小宝	49	0	16200	3	6
9822766	146086	112	040005048.pet	变异-巧虎	111	0	16800	4	6
9822767	146086	112	040005011.pet	新手-灵貂小宝	48	0	15300	3	6
9822767	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	13200	3	6
9822767	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	14800	4	6
9822767	146086	112	040005048.pet	变异-巧虎	111	0	16300	5	6
9822772	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15100	4	6
9822772	146086	111	040005011.pet	新手-灵貂小宝	48	0	14300	3	6
9822772	146086	111	040005048.pet	变异-巧虎	110	0	18400	5	6
9822772	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14100	4	6
9822772	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15400	4	6
9822773	146086	111	040005011.pet	新手-灵貂小宝	48	0	13800	3	6
9822773	146086	111	040005048.pet	变异-巧虎	111	0	16300	5	6
9822774	146086	111	040005011.pet	新手-灵貂小宝	49	0	17400	3	6
9822774	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15200	4	6
9822774	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822774	146086	111	040002018.pet	宝宝-灵貂小宝·�	1	0	18600	5	6
9822774	146086	111	040005048.pet	变异-巧虎	110	0	16700	5	6
9822775	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	13300	4	6
9822775	146086	111	040005011.pet	新手-灵貂小宝	49	0	16100	3	6
9822775	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822775	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14400	4	6
9822775	146086	111	040005048.pet	变异-巧虎	110	0	16700	4	6
9822776	146086	112	040005011.pet	新手-灵貂小宝	48	0	14200	3	6
9822776	146086	112	040005048.pet	变异-巧虎	110	0	17100	5	6
9822776	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	13800	4	6
9822776	146086	112	040002015.pet	宝宝-灵貂小宝·�	1	0	15300	4	6
9822776	146086	112	040003015.pet	变异-灵貂小宝·�	1	0	16700	5	6
9822777	146086	111	040005011.pet	新手-灵貂小宝	48	0	17300	3	6
9822777	146086	111	040005048.pet	变异-巧虎	110	0	16600	4	6
9822778	146086	111	040005011.pet	新手-灵貂小宝	49	0	15100	3	6
9822778	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14500	4	6
9822778	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15100	4	6
9822778	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15600	4	6
9822778	146086	111	040005048.pet	变异-巧虎	110	0	16100	5	6
9822779	146086	111	040005011.pet	新手-灵貂小宝	49	0	17900	3	6
9822779	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15100	4	6
9822779	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	14000	4	6
9822779	146086	111	040002015.pet	宝宝-灵貂小宝·�	1	0	15700	4	6
9822779	146086	111	040005048.pet	变异-巧虎	110	0	16900	5	6
9822907	146086	84	040005011.pet	新手-灵貂小宝	48	0	16500	3	6
9822907	146086	84	040005048.pet	变异-巧虎	1	0	16200	4	6
9823816	146086	128	040003026.pet	变异-黑熊	107	0	22800	6	6
9823816	146086	128	040002018.pet	宝宝-灵貂小宝·�	1	0	18900	5	6
9823816	146086	128	040003018.pet	变异-灵貂小宝·�	125	1000	25200	6	6
9823816	146086	128	040003018.pet	变异-灵貂小宝·�	127	10000	27700	8	44
9823828	153087	120	040002018.pet	宝宝-灵貂小宝·�	94	0	21000	5	6
9823828	153087	120	040002018.pet	宝宝-灵貂小宝·�	1	0	20700	4	6
9823828	153087	120	040002018.pet	宝宝-灵貂小宝·�	100	0	24800	4	26
9823993	153087	80	040005011.pet	新手-灵貂小宝	5	0	15600	3	6
9823993	153087	80	040005048.pet	变异-巧虎	56	1000	16800	8	6
9823993	153087	80	040002019.pet	变异-神机巧偶	1	0	15200	1	6
9823993	153087	80	040001020.pet	成年-浣熊	1	0	10500	3	6
9824467	146086	126	040003027.pet	神兽-屠媚	126	32000	21700	14	24
9824467	146086	126	040003012.pet	变异-青鸟	119	22000	20900	5	20
9824772	153087	109	040002018.pet	宝宝-灵貂小宝·�	77	0	17800	10	6
9824772	153087	109	040003018.pet	变异-灵貂小宝·�	82	6000	21800	8	6
9825443	153087	121	040003018.pet	变异-灵貂小宝·�	79	20000	21400	5	19
9825443	153087	121	040003018.pet	变异-灵貂小宝·�	103	0	22300	10	18
9825443	153087	121	040003018.pet	变异-灵貂小宝·�	118	33000	28000	10	28
9825508	153087	125	040002060.pet	变异-闪电虎	1	0	14800	3	6
9825508	153087	125	040002018.pet	宝宝-灵貂小宝·�	124	31000	20500	12	18
9825508	153087	125	040002018.pet	宝宝-灵貂小宝·�	113	10000	20900	5	17
9825639	153087	122	040005027.pet	神兽-屠媚	91	10000	18200	15	14
9825639	153087	122	040002018.pet	宝宝-灵貂小宝·�	1	0	21100	4	6
9825639	153087	122	040002060.pet	变异-闪电虎	1	0	15200	3	6
9825639	153087	122	040003018.pet	变异-灵貂小宝·�	107	4000	22400	8	6
9825639	153087	122	040002018.pet	宝宝-灵貂小宝·�	121	29000	20800	12	21
9825641	153087	121	040002060.pet	变异-闪电虎	1	0	14700	3	6
9825641	153087	121	040003018.pet	变异-灵貂小宝·�	89	0	22800	6	6
9825641	153087	121	040002018.pet	宝宝-灵貂小宝·�	120	36000	21000	4	24
9825641	153087	121	040002018.pet	宝宝-灵貂小宝·�	100	4000	18800	7	6
9825641	153087	121	040002018.pet	宝宝-灵貂小宝·�	76	0	17800	7	6
9825901	153087	125	040003018.pet	变异-灵貂小宝·�	124	34000	19500	6	30
9825901	153087	125	040005027.pet	神兽-屠媚	121	35000	22800	11	28
9825901	153087	125	040003018.pet	变异-灵貂小宝·�	122	10000	22100	5	18
9825901	153087	125	040003018.pet	变异-灵貂小宝·�	1	0	18700	5	6
9825944	146086	105	040002060.pet	变异-闪电虎	1	0	13700	3	6
9825944	146086	105	040005011.pet	新手-灵貂小宝	21	0	15300	3	6
9825944	146086	105	040005048.pet	变异-巧虎	58	0	18700	4	6
9826400	146086	132	040003063.pet	变异-雪狐	1	6000	23000	10	6
9826400	146086	132	040005027.pet	神兽-屠媚	132	35000	28600	10	34
9826400	146086	132	040003027.pet	神兽-屠媚	132	48000	27600	10	36
9826400	146086	132	040003012.pet	变异-青鸟	130	25000	25200	5	12
9826406	146086	132	040005027.pet	神兽-屠媚	92	0	22000	10	6
9826406	146086	132	040003025.pet	变异-追夜犬	130	21000	27500	12	24
9826406	146086	132	040003004.pet	神兽-魁麟	132	46000	30000	16	37
9826406	146086	132	040005027.pet	神兽-屠媚	132	40000	28600	8	30
9826892	153087	123	040003018.pet	变异-灵貂小宝·�	1	0	26900	6	6
9826892	153087	123	040003018.pet	变异-灵貂小宝·�	123	32000	21000	9	22
9826892	153087	123	040002018.pet	宝宝-灵貂小宝·�	123	33000	20200	8	30
9826892	153087	123	040003018.pet	变异-灵貂小宝·�	97	0	19400	9	6
9827227	153087	129	040003026.pet	变异-黑熊	126	8000	23800	4	12
9827227	153087	129	040005041.pet	神兽-云中雷	122	11000	22900	9	6
9827227	153087	129	040003041.pet	神兽-云中雷	113	43000	21000	8	36
9827227	153087	129	040002026.pet	宝宝-黑熊	106	0	18400	3	8
9828270	146086	117	040005048.pet	变异-巧虎	114	11000	18700	8	14
9828417	153087	120	040002018.pet	宝宝-灵貂小宝·�	109	0	20700	4	6
9828417	153087	120	040003026.pet	变异-黑熊	120	23000	25000	5	10
9828580	146086	112	040003024.pet	变异-蝶妖	95	0	23300	4	18
9828580	146086	112	040003026.pet	变异-黑熊	109	2000	22700	5	16
9828651	146086	100	040002060.pet	变异-闪电虎	45	0	15100	3	6
9828651	146086	100	040005048.pet	变异-巧虎	78	4000	17500	4	6
9830152	153087	118	040002018.pet	宝宝-灵貂小宝·�	92	0	21400	5	6
9830152	153087	118	040002018.pet	宝宝-灵貂小宝·�	116	0	23900	10	6
9830212	153087	116	040003018.pet	变异-灵貂小宝·�	1	0	20300	6	6
9830212	153087	116	040003018.pet	变异-灵貂小宝·�	115	20000	23600	12	7
9830212	153087	116	040003018.pet	变异-灵貂小宝·�	69	0	22700	9	7
9830503	153087	128	040002018.pet	宝宝-灵貂小宝·�	127	23000	24200	10	6
9830503	153087	128	040003027.pet	神兽-屠媚	128	39000	25400	16	39
9830503	153087	128	040003027.pet	神兽-屠媚	128	20000	22600	12	6
9831198	146086	127	040002018.pet	宝宝-灵貂小宝·�	68	0	20400	3	6
9831198	146086	127	040003027.pet	神兽-屠媚	126	47000	22100	14	42
9831198	146086	127	040003026.pet	变异-黑熊	113	19000	21800	3	10
9831244	153087	131	040005027.pet	神兽-屠媚	1	8000	17100	9	11
9831244	153087	131	040003018.pet	变异-灵貂小宝·�	1	0	17600	6	6
9831244	153087	131	040002018.pet	宝宝-灵貂小宝·�	1	0	23400	4	6
9831244	153087	131	040003027.pet	神兽-屠媚	102	45000	25400	8	30
9831244	153087	131	040003027.pet	神兽-屠媚	131	27000	27600	6	29
9831932	146086	132	040003027.pet	神兽-屠媚	132	50000	22800	12	6
9831932	146086	132	040001022.pet	成年-剑灵	1	0	12000	4	6
9831932	146086	132	040001022.pet	成年-剑灵	1	0	11700	4	6
9831932	146086	132	040003027.pet	神兽-屠媚	132	50000	29000	12	48
9831932	146086	132	040005041.pet	神兽-云中雷	132	35000	28700	12	6
9831932	146086	132	040003021.pet	变异-夺命魔蝎	1	0	18700	4	6
9831934	153087	117	040002018.pet	宝宝-灵貂小宝·�	108	26000	19400	9	10
9831934	153087	117	040002018.pet	宝宝-灵貂小宝·�	105	8000	19900	9	10
9832267	153087	130	040003025.pet	变异-追夜犬	108	0	19600	9	6
9832267	153087	130	040005041.pet	神兽-云中雷	129	23000	20200	5	26
9832267	153087	130	040003041.pet	神兽-云中雷	129	30000	26500	4	30
9832267	153087	130	040003018.pet	变异-灵貂小宝·�	124	28000	22600	4	24
9833023	146086	105	040002060.pet	变异-闪电虎	70	0	15500	3	6
9833023	146086	105	040005048.pet	变异-巧虎	94	0	18300	4	6
9834091	146086	106	040002060.pet	变异-闪电虎	78	0	15600	2	6
9834091	146086	106	040002060.pet	变异-闪电虎	62	0	15200	3	6
